Municípios,Código,Gentílico,População 2010,Área da unidade territorial (km²),Densidade demográfica (hab/km²),PIB a preços correntes
Monte Alegre do Sul,3531209,monte-alegrense,7.152,"110,31","64,8",138.176
Monte Alto,3531308,monte-altense,46.642,"346,50","134,6",1.090.216
Monte Aprazível,3531407,monte-aprazivelense,21.746,"496,91","43,8",566.726
Monte Azul Paulista,3531506,monte-azulense,18.931,"263,44","71,9",318.073
Monte Castelo,3531605,monte-castelense,4.063,"232,57","17,5",74.729
Monte Mor,3531803,monte-morense,48.949,"240,41","203,6",1.405.977
Monteiro Lobato,3531704,lobatense,4.12,"332,74","12,4",46.378
Morro Agudo,3531902,morro-agudense,29.116,"1.388,20","21,0",847.328
Morungaba,3532009,morungabense,11.769,"146,75","80,2",365.739
Motuca,3532058,motuquense,4.29,"228,70","18,8",98.127
Murutinga do Sul,3532108,murutinguense,4.186,"250,84","16,7",55.739
Nantes,3532157,nantense,2.707,"286,16","9,5",126.594
Narandiba,3532207,narandibense,4.288,"358,03","12,0",229.636
Natividade da Serra,3532306,nativense,6.678,"833,37","8,0",64.06
Nazaré Paulista,3532405,nazareano,16.414,"326,29","50,3",240.258
Neves Paulista,3532504,nevense,8.772,"218,34","40,2",158.232
Nhandeara,3532603,nhandearense,10.725,"435,77","24,6",248.577
Nipoã,3532702,nipoense,4.274,"137,82","31,0",74.258
Nova Aliança,3532801,nova-aliancense,5.891,"217,31","27,1",115.845
Nova Campina,3532827,nova campinense,8.515,"385,38","22,1",171.362
Nova Canaã Paulista,3532843,novacanaense,2.114,"124,42","17,0",37.555
Nova Castilho,3532868,castilhense,1.125,"183,23","6,1",46.115
Nova Europa,3532900,nova-europense,9.3,"160,35","58,0",159.196
Nova Granada,3533007,granadense,19.18,"531,88","36,1",271.603
Nova Guataporanga,3533106,guataporanguense,2.177,"34,12","63,8",20.778
Nova Independência,3533205,independentino,3.068,"265,78","11,5",203.378
Nova Luzitânia,3533304,luzitaniense,3.441,"74,06","46,5",40.545
Nova Odessa,3533403,novaodessense,51.242,"74,32","689,5",2.176.614
Novais,3533254,novaense,4.592,"117,77","39,0",53.475
Novo Horizonte,3533502,novo-horizontino,36.593,"931,67","39,3",884.419
Nuporanga,3533601,nuporanguense,6.817,"348,27","19,6",211.328
Ocauçu,3533700,ocauçuense,4.163,"300,35","13,9",68.034
Óleo,3533809,oleense,2.673,"198,14","13,5",52.625
Olímpia,3533908,olimpiense,50.024,"802,65","62,3",1.121.627
Onda Verde,3534005,onda-verdense,3.884,"242,31","16,0",145.135
Oriente,3534104,orientense,6.097,"218,61","27,9",69.349
Orindiúva,3534203,orindiuvense,5.675,"248,11","22,9",166.178
Orlândia,3534302,orlandino,39.781,"291,77","136,3",977.839
Osasco,3534401,osasquense,666.74,"64,95","10.264,8",39.283.027
Oscar Bressane,3534500,bressanense,2.537,"221,34","11,5",36.543
Osvaldo Cruz,3534609,osvaldo-cruzense,30.917,"248,39","124,5",527.317
Ourinhos,3534708,ourinhense,103.035,"296,27","347,8",1.760.987
Ouro Verde,3534807,ouro-verdense,7.8,"267,61","29,2",107.72
Ouroeste,3534757,ouroestense,8.405,"288,84","29,1",661.576
